DEBUG - 2016-10-16 21:14:11.546; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 21:14:11.553; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:08.757; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 22:03:08.778; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:08.784; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-16 22:03:20.185; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 22:03:20.190; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.195; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-16 22:03:20.199; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 22:03:20.203; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.206; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.209; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.215; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-16 22:03:20.222; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 22:03:20.222; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.225; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.230; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.232; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-16 22:03:20.250; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 22:03:20.251; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.252; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.253; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.255; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-16 22:03:20.300; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 22:03:20.300; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.301; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.302; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.306; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-16 22:03:20.328; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 22:03:20.330; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:20.332; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-16 22:03:46.824; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-16 22:03:46.848; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
